epoch,train_loss,train_acc,val_loss,val_acc
1,0.19078491195337846,0.9375,0.22514992654175103,0.9325
2,0.0423590941343961,0.9908333333333333,0.1925994664314726,0.95125
3,0.03909659549923769,0.99,0.2129335516533358,0.925625
4,0.04693626070720105,0.9875,0.11926437894327713,0.968125
5,0.011487803938519696,0.9958333333333333,0.18219955899083579,0.9675
